Series Name,Series Code,Country Name,Country Code,2019 [YR2019]
GDP per capita (current US$),NY.GDP.PCAP.CD,Ghana,GHA,2202.11556738065
GDP per capita (current US$),NY.GDP.PCAP.CD,Gibraltar,GIB,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Greece,GRC,19582.5359794936
GDP per capita (current US$),NY.GDP.PCAP.CD,Greenland,GRL,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Grenada,GRD,10808.6721222084
GDP per capita (current US$),NY.GDP.PCAP.CD,Guam,GUM,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Guatemala,GTM,4619.98525821971
GDP per capita (current US$),NY.GDP.PCAP.CD,Guinea,GIN,962.839908587778
GDP per capita (current US$),NY.GDP.PCAP.CD,Guinea-Bissau,GNB,697.294926856786
GDP per capita (current US$),NY.GDP.PCAP.CD,Guyana,GUY,6609.58642503371
GDP per capita (current US$),NY.GDP.PCAP.CD,Haiti,HTI,1272.4909246734
GDP per capita (current US$),NY.GDP.PCAP.CD,Honduras,HND,2574.91219067443
GDP per capita (current US$),NY.GDP.PCAP.CD,"Hong Kong SAR, China",HKG,48713.4737481561
GDP per capita (current US$),NY.GDP.PCAP.CD,Hungary,HUN,16731.8215139051
GDP per capita (current US$),NY.GDP.PCAP.CD,Iceland,ISL,66944.8330769825
GDP per capita (current US$),NY.GDP.PCAP.CD,India,IND,2099.59904810855
GDP per capita (current US$),NY.GDP.PCAP.CD,Indonesia,IDN,4135.56926281554
GDP per capita (current US$),NY.GDP.PCAP.CD,"Iran, Islamic Rep.",IRN,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Iraq,IRQ,5955.10901036816
GDP per capita (current US$),NY.GDP.PCAP.CD,Ireland,IRL,78660.9564629603
GDP per capita (current US$),NY.GDP.PCAP.CD,Isle of Man,IMN,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Israel,ISR,43592.0835823234
GDP per capita (current US$),NY.GDP.PCAP.CD,Italy,ITA,33228.2366803707
GDP per capita (current US$),NY.GDP.PCAP.CD,Jamaica,JAM,5582.26377755211
GDP per capita (current US$),NY.GDP.PCAP.CD,Japan,JPN,40246.8801284164
GDP per capita (current US$),NY.GDP.PCAP.CD,Jordan,JOR,4405.48841230824
GDP per capita (current US$),NY.GDP.PCAP.CD,Kazakhstan,KAZ,9812.39037613835
GDP per capita (current US$),NY.GDP.PCAP.CD,Kenya,KEN,1816.5469164389
GDP per capita (current US$),NY.GDP.PCAP.CD,Kiribati,KIR,1655.07883905984
GDP per capita (current US$),NY.GDP.PCAP.CD,"Korea, Dem. People’s Rep.",PRK,..
GDP per capita (current US$),NY.GDP.PCAP.CD,"Korea, Rep.",KOR,31846.2182324258
GDP per capita (current US$),NY.GDP.PCAP.CD,Kosovo,XKX,4417.5240622333
GDP per capita (current US$),NY.GDP.PCAP.CD,Kuwait,KWT,32000.4484691578
GDP per capita (current US$),NY.GDP.PCAP.CD,Kyrgyz Republic,KGZ,1309.39299165512
GDP per capita (current US$),NY.GDP.PCAP.CD,Lao PDR,LAO,2534.89827991125
GDP per capita (current US$),NY.GDP.PCAP.CD,Latvia,LVA,17828.8946571856
GDP per capita (current US$),NY.GDP.PCAP.CD,Lebanon,LBN,7583.69472170648
GDP per capita (current US$),NY.GDP.PCAP.CD,Lesotho,LSO,1118.13128380194
GDP per capita (current US$),NY.GDP.PCAP.CD,Liberia,LBR,621.892953622715
GDP per capita (current US$),NY.GDP.PCAP.CD,Libya,LBY,7685.94926653003
GDP per capita (current US$),NY.GDP.PCAP.CD,Liechtenstein,LIE,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Lithuania,LTU,19601.8908343885
GDP per capita (current US$),NY.GDP.PCAP.CD,Luxembourg,LUX,114704.594170863
GDP per capita (current US$),NY.GDP.PCAP.CD,"Macao SAR, China",MAC,84096.3963112065
GDP per capita (current US$),NY.GDP.PCAP.CD,North Macedonia,MKD,6022.21617939574
GDP per capita (current US$),NY.GDP.PCAP.CD,Madagascar,MDG,523.359064460847
GDP per capita (current US$),NY.GDP.PCAP.CD,Malawi,MWI,411.552340423602
GDP per capita (current US$),NY.GDP.PCAP.CD,Malaysia,MYS,11414.2069765208
GDP per capita (current US$),NY.GDP.PCAP.CD,Maldives,MDV,10626.513402239
GDP per capita (current US$),NY.GDP.PCAP.CD,Mali,MLI,879.008010446655
GDP per capita (current US$),NY.GDP.PCAP.CD,Malta,MLT,29820.6032474099
GDP per capita (current US$),NY.GDP.PCAP.CD,Marshall Islands,MHL,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Mauritania,MRT,1679.44487300408
GDP per capita (current US$),NY.GDP.PCAP.CD,Mauritius,MUS,11099.2402835688
GDP per capita (current US$),NY.GDP.PCAP.CD,Mexico,MEX,9946.03382879198
GDP per capita (current US$),NY.GDP.PCAP.CD,"Micronesia, Fed. Sts.",FSM,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Moldova,MDA,4503.51698538847
GDP per capita (current US$),NY.GDP.PCAP.CD,Monaco,MCO,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Mongolia,MNG,4339.84327925027
GDP per capita (current US$),NY.GDP.PCAP.CD,Montenegro,MNE,8908.93479246767
GDP per capita (current US$),NY.GDP.PCAP.CD,Morocco,MAR,3204.09500313298
GDP per capita (current US$),NY.GDP.PCAP.CD,Mozambique,MOZ,503.570772675202
GDP per capita (current US$),NY.GDP.PCAP.CD,Myanmar,MMR,1407.81314341043
GDP per capita (current US$),NY.GDP.PCAP.CD,Namibia,NAM,4957.45822226408
GDP per capita (current US$),NY.GDP.PCAP.CD,Nauru,NRU,9396.98196681072
GDP per capita (current US$),NY.GDP.PCAP.CD,Nepal,NPL,1071.05076055404
GDP per capita (current US$),NY.GDP.PCAP.CD,Netherlands,NLD,52331.3167277797
GDP per capita (current US$),NY.GDP.PCAP.CD,New Caledonia,NCL,..
GDP per capita (current US$),NY.GDP.PCAP.CD,New Zealand,NZL,42084.3533748088
GDP per capita (current US$),NY.GDP.PCAP.CD,Nicaragua,NIC,1912.90374537869
GDP per capita (current US$),NY.GDP.PCAP.CD,Niger,NER,553.89505038138
GDP per capita (current US$),NY.GDP.PCAP.CD,Nigeria,NGA,2229.85869624463
GDP per capita (current US$),NY.GDP.PCAP.CD,Northern Mariana Islands,MNP,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Norway,NOR,75419.6348688089
GDP per capita (current US$),NY.GDP.PCAP.CD,Oman,OMN,15343.0620043106
GDP per capita (current US$),NY.GDP.PCAP.CD,Pakistan,PAK,1284.70204090039
GDP per capita (current US$),NY.GDP.PCAP.CD,Palau,PLW,14901.9835314079
GDP per capita (current US$),NY.GDP.PCAP.CD,Panama,PAN,15731.0160348471
GDP per capita (current US$),NY.GDP.PCAP.CD,Papua New Guinea,PNG,2829.17030896837
GDP per capita (current US$),NY.GDP.PCAP.CD,Paraguay,PRY,5414.79913793258
GDP per capita (current US$),NY.GDP.PCAP.CD,Peru,PER,6977.69578355382
GDP per capita (current US$),NY.GDP.PCAP.CD,Philippines,PHL,3485.08421835861
GDP per capita (current US$),NY.GDP.PCAP.CD,Poland,POL,15692.5070255563
GDP per capita (current US$),NY.GDP.PCAP.CD,Portugal,PRT,23252.0585181211
GDP per capita (current US$),NY.GDP.PCAP.CD,Puerto Rico,PRI,32873.7192730424
GDP per capita (current US$),NY.GDP.PCAP.CD,Qatar,QAT,62088.0618276987
GDP per capita (current US$),NY.GDP.PCAP.CD,Romania,ROU,12919.5296441908
GDP per capita (current US$),NY.GDP.PCAP.CD,Russian Federation,RUS,11584.9953826104
GDP per capita (current US$),NY.GDP.PCAP.CD,Rwanda,RWA,820.025241658159
GDP per capita (current US$),NY.GDP.PCAP.CD,Samoa,WSM,4324.01401840457
GDP per capita (current US$),NY.GDP.PCAP.CD,San Marino,SMR,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Sao Tome and Principe,STP,1946.64361370086
GDP per capita (current US$),NY.GDP.PCAP.CD,Saudi Arabia,SAU,23139.7986561214
GDP per capita (current US$),NY.GDP.PCAP.CD,Senegal,SEN,1446.83096499408
GDP per capita (current US$),NY.GDP.PCAP.CD,Serbia,SRB,7411.83611634734
GDP per capita (current US$),NY.GDP.PCAP.CD,Seychelles,SYC,17448.2702926831
GDP per capita (current US$),NY.GDP.PCAP.CD,Sierra Leone,SLE,527.533634399111
GDP per capita (current US$),NY.GDP.PCAP.CD,Singapore,SGP,65233.2824392302
GDP per capita (current US$),NY.GDP.PCAP.CD,Sint Maarten (Dutch part),SXM,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Slovak Republic,SVK,19266.2754990139
GDP per capita (current US$),NY.GDP.PCAP.CD,Slovenia,SVN,25946.1821852127
GDP per capita (current US$),NY.GDP.PCAP.CD,Solomon Islands,SLB,2373.63247042576
GDP per capita (current US$),NY.GDP.PCAP.CD,Somalia,SOM,..
GDP per capita (current US$),NY.GDP.PCAP.CD,South Africa,ZAF,6001.40081394888
GDP per capita (current US$),NY.GDP.PCAP.CD,South Sudan,SSD,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Spain,ESP,29600.3782526602
GDP per capita (current US$),NY.GDP.PCAP.CD,Sri Lanka,LKA,3853.08369288942
GDP per capita (current US$),NY.GDP.PCAP.CD,St. Kitts and Nevis,KNA,19934.9745323929
GDP per capita (current US$),NY.GDP.PCAP.CD,St. Lucia,LCA,11611.4154473966
GDP per capita (current US$),NY.GDP.PCAP.CD,St. Martin (French part),MAF,..
GDP per capita (current US$),NY.GDP.PCAP.CD,St. Vincent and the Grenadines,VCT,7457.50950382514
GDP per capita (current US$),NY.GDP.PCAP.CD,Sudan,SDN,441.505603374484
GDP per capita (current US$),NY.GDP.PCAP.CD,Suriname,SUR,6359.83361442737
GDP per capita (current US$),NY.GDP.PCAP.CD,Eswatini,SWZ,3894.67980685427
GDP per capita (current US$),NY.GDP.PCAP.CD,Sweden,SWE,51615.0206514946
GDP per capita (current US$),NY.GDP.PCAP.CD,Switzerland,CHE,81993.72712595
GDP per capita (current US$),NY.GDP.PCAP.CD,Syrian Arab Republic,SYR,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Tajikistan,TJK,870.787589323223
GDP per capita (current US$),NY.GDP.PCAP.CD,Tanzania,TZA,1122.12181047515
GDP per capita (current US$),NY.GDP.PCAP.CD,Thailand,THA,7806.74221105532
GDP per capita (current US$),NY.GDP.PCAP.CD,Timor-Leste,TLS,1560.50982160188
GDP per capita (current US$),NY.GDP.PCAP.CD,Togo,TGO,679.290249091295
GDP per capita (current US$),NY.GDP.PCAP.CD,Tonga,TON,4903.15290276599
GDP per capita (current US$),NY.GDP.PCAP.CD,Trinidad and Tobago,TTO,17397.9817601543
GDP per capita (current US$),NY.GDP.PCAP.CD,Tunisia,TUN,3317.4535932122
GDP per capita (current US$),NY.GDP.PCAP.CD,Turkey,TUR,9126.56134585014
GDP per capita (current US$),NY.GDP.PCAP.CD,Turkmenistan,TKM,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Turks and Caicos Islands,TCA,31353.3293184258
GDP per capita (current US$),NY.GDP.PCAP.CD,Tuvalu,TUV,4059.02999569444
GDP per capita (current US$),NY.GDP.PCAP.CD,Uganda,UGA,794.341077917102
GDP per capita (current US$),NY.GDP.PCAP.CD,Ukraine,UKR,3659.03131229487
GDP per capita (current US$),NY.GDP.PCAP.CD,United Arab Emirates,ARE,43103.3230583165
GDP per capita (current US$),NY.GDP.PCAP.CD,United Kingdom,GBR,42330.117537005
GDP per capita (current US$),NY.GDP.PCAP.CD,United States,USA,65297.517508274
GDP per capita (current US$),NY.GDP.PCAP.CD,Uruguay,URY,16190.126957465
GDP per capita (current US$),NY.GDP.PCAP.CD,Uzbekistan,UZB,1724.8411344137
GDP per capita (current US$),NY.GDP.PCAP.CD,Vanuatu,VUT,3115.35862043261
GDP per capita (current US$),NY.GDP.PCAP.CD,"Venezuela, RB",VEN,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Vietnam,VNM,2715.27603640721
GDP per capita (current US$),NY.GDP.PCAP.CD,Virgin Islands (U.S.),VIR,..
GDP per capita (current US$),NY.GDP.PCAP.CD,West Bank and Gaza,PSE,..
GDP per capita (current US$),NY.GDP.PCAP.CD,"Yemen, Rep.",YEM,774.334489816721
GDP per capita (current US$),NY.GDP.PCAP.CD,Zambia,ZMB,1305.06325350544
GDP per capita (current US$),NY.GDP.PCAP.CD,Zimbabwe,ZWE,1463.98591018054
,,,,
,,,,
,,,,
Data from database: World Development Indicators,,,,
Last Updated: 02/17/2021,,,,
